product_name,store,percentage_change,category,price
Nescafe Red Mug 200G,lulu,0.0,Tea and Coffee,29.9
Nestle Coffee Mate Cremer Jar 400G ,lulu,9.523809523999999,Tea and Coffee,13.5
Lipton Extra Strong Tea Bag 25S,lulu,-6.8,Tea and Coffee,6.0
Al Shifa Honey Natural 250Gm,lulu,6.944444444,Spreads,15.75
Nectaflor Honey Moutn 250G Jar,lulu,-7.78125,Spreads,21.0
Nutella 350 Gm,lulu,-16.62958843,Spreads,11.81
Nature Valley Protein Peanut & Choco 40Gm ,lulu,-21.42857143,Cereals and bars,4.25
Nature Valley Protein Salted Caramel Nut 40Gm,lulu,-31.25,Cereals and bars,4.25
Nature Valley Crunchy Oats&Coconut,lulu,1.9021739130000002,Cereals and bars,1.0
Oreo Mini 67 Gm,lulu,-10.84165478,Snacks,5.2
Cadbruy Dairy Milk Hazelnut 227Gm,lulu,-12.43745533,Snacks,10.0
Cadburry Dairy Milk Oreo 95G,lulu,0.11764705880000001,Snacks,6.67
Cadbury Dairy Milk Chocolate 230Gm,lulu,-10.90909091,Snacks,10.0
Cadbury Dairy Milk Fruit & Nut 230Gm,lulu,-10.84425036,Snacks,10.0
Lindt Excellence 70% Cocoa 100Gm,lulu,-17.14285714,Snacks,13.2
Lindt Excellence Cocoa 85% 100Gm,lulu,-17.81838949,Snacks,13.15
Lindt Excellence Cocoa 90% 100Gm,lulu,-10.28571429,Snacks,13.2
Kallo Rice Cake No Added Salt 130Gm,lulu,-25.0,Snacks,10.0
Lays Forno Auth Cheese 170g,lulu,-23.904761899999997,Snacks,7.7
Lays Forno Black Pepper 170g,lulu,-23.904761899999997,Snacks,7.7
Indomie Cup Noodles Beef 60g,lulu,-6.666666667,Instant noodles,2.65
Indomie Cup Noodles Chicken 60g,lulu,-6.666666667,Instant noodles,3.25
Indomie Cup Noodles Curry 60g,lulu,0.0,Instant noodles,2.65
Indomie Cup Noodles Fried Migoreng 75g,lulu,-31.94192377,Instant noodles,3.8
Indomie Cup Noodles Vegetable 60g,lulu,0.0,Instant noodles,2.65
Koka Bowl Noodles Chicken 90g,lulu,9.523809523999999,Instant noodles,4.2
Koka Bowl Noodles Seafood 90g,lulu,9.523809523999999,Instant noodles,3.15
Koka Bowl Noodles Tom Yam 90g,lulu,-0.1736111111,Instant noodles,4.2
Koka Cup Noodles Beef 70g,lulu,4.938271605,Instant noodles,3.15
Koka Cup Noodles Vegetable 70g,lulu,-11.11111111,Instant noodles,3.15
Bayara Cashew Roasted 200g,lulu,-8.695652174,Nuts and Seeds,18.4
Always Large With Wings 30,lulu,20.0,Toiletries,11.35
Carefree Duo Effect Intimate Foam Gt+Av 150Ml,lulu,22.09302326,Toiletries,44.5
Carefree Flexi Comfort Cotton 12/20 Pcs,lulu,-15.05309182,Toiletries,14.0
Sensodyne T/Paste 75Ml Rapid Action,lulu,43.43478261,Toiletries,29.65
Sensodyne T/Paste 75Ml Rapid Action Whitening,lulu,-4.166666667,Toiletries,29.65
Colgate Plax Freshmint 250Ml,lulu,-6.711111111,Toiletries,19.25
Dettol Handwash Original 200Ml,lulu,-10.0,Toiletries,12.55
Lifebouy Handwash Total10 200Ml,lulu,-3.227888961,Toiletries,10.75
Dove Shamp Colour Care (Dlx) 12X400Ml,lulu,-11.14814815,Toiletries,19.45
Dove Shampoo Thickening Ritual 400 Ml,lulu,-12.53125,Toiletries,23.5
Dettol Hand Sanitizer 50 Ml (Original),lulu,-14.73333333,Toiletries,13.75
Fine Toilet Roll Xl 10S,lulu,16.61111111,Household Supplies,20.25
Ariel Green 260g,lulu,-9.819639279,Household Supplies,4.25
7Days Croissant Chocolate 55G,lulu,-11.11111111,Baked goods,1.6
7Days Croissant Strawberry 55G,lulu,-22.22222222,Baked goods,1.6
7Days Croissant Vanilla 55G,lulu,-11.11111111,Baked goods,1.6
7Days Jumbo Croissant Hazelnu&Cocoa 100G,lulu,-6.25,Baked goods,3.5
Lusine Brown Sandwich Bread 600 Gm,lulu,-16.15384615,Baked goods,5.1
Lusine Milk Bread 600Gm,lulu,3.47129506,Baked goods,7.0
Lusine Multi Grain Sliced Bread 600 Gm,lulu,15.78231293,Baked goods,7.0
Lusine Soft White Slice Bread 620 Gm,lulu,-8.862876254,Baked goods,4.6
